Bundesland;BLZ;Name;Adresse ;PLZ;Ort;FN;Info;coordinates;Latitude;Longitude
NÖW;32865;Raiffeisenbank Schneebergland eGen;Raiffeisenstraße 2;2620;Neunkirchen;106928y;;(47.7198373, 16.0836011);47.7198373;16.0836011
NÖW;32880;Raiffeisenbank Tulln eGen;Bahnhofstraße 9;3430;Tulln;75182m;;(48.3304118, 16.0540301);48.3304118;16.0540301
NÖW;32901;Raiffeisenbank Vitis eGen;Hauptplatz 30;3902;Vitis;35645w;;(48.7590228, 15.1823744);48.7590228;15.1823744
NÖW;32904;Raiffeisenbank Waidhofen a. d. Thaya eGen;Raiffeisenpromenade 1;3830;Waidhofen/Thaya;35619g;;(48.8139339, 15.2827204);48.8139339;15.2827204
NÖW;32906;Raiffeisenbank Ybbstal eGen;Oberer Stadtplatz 22;3340;Waidhofen/Ybbs;78842w;;(47.9604077, 14.7752319);47.9604077;14.7752319
NÖW;32937;Raiffeisenregionalbank Wiener Neustadt eGen;Hauptplatz 28;2700;Wiener Neustadt;107016b;;(47.8127391, 16.2441975);47.8127391;16.2441975
NÖW;32939;Raiffeisenbank Mittleres Mostviertel eGen;Scheibbser Straße 4;3250;Wieselburg/Erl.;79054g;;(48.1299635, 15.1384005);48.1299635;15.1384005
NÖW;32940;Raiffeisenkasse Wiesmath-Hochwolkersdorf eGen;Hauptstraße 12;2811;Wiesmath;109696v;;(47.6166436, 16.2877473);47.6166436;16.2877473
NÖW;32951;Raiffeisenbank Wolkersdorf eGen;Hauptstraße 5;2120;Wolkersdorf;57838g;;(48.3849738, 16.5159987);48.3849738;16.5159987
NÖW;32985;Raiffeisenbank Weinviertel Nordost eGen ;Hauptstraße 39;2225;Zistersdorf;55056s;;(48.5458569, 16.7634695);48.5458569;16.7634695
NÖW;32990;Raiffeisenbank Region Waldviertel Mitte eGen;Landstraße 23;3910;Zwettl/NÖ;49470a;;(48.6040571, 15.166729);48.6040571;15.166729
BGLD;33000;Raiffeisenlandesbank Burgenland und Revisionsverband eGen;Raiffeisenstraße 1;7000;Eisenstadt;121834v;;(47.845516, 16.516668);47.845516;16.516668
BGLD;33002;Raiffeisenbank Seewinkel-Hansag eGen;Höchtlgasse 6;7163;Andau;126965p;;(47.7766024, 17.0326694);47.7766024;17.0326694
BGLD;33010;Raiffeisenbank Region Deutschkreutz-Horitschon eGen;Hauptstraße 49;7301;Deutschkreutz;124705s;;(47.6000949, 16.6252523);47.6000949;16.6252523
BGLD;33012;Raiffeisenbank Neusiedlersee-Hügelland eGen;Hauptstraße 39;7082;Donnerskirchen;124097x;;(47.8966677, 16.6438987);47.8966677;16.6438987
BGLD;33014;Raiffeisenbank Draßmarkt-Kobersdorf-St. Martin eGen;Hauptstraße 29;7372;Draßmarkt;124934b;;(47.5124044, 16.4037569);47.5124044;16.4037569
BGLD;33027;Raiffeisenbezirksbank Güssing eGen;Hauptstraße 3;7540;Güssing;122891y;;(47.0581888, 16.3209767);47.0581888;16.3209767
BGLD;33033;Raiffeisenbank Neusiedlersee-Seewinkel eGen;Hauptplatz 4;7142;Illmitz;123449v;;(47.7618192, 16.7995252);47.7618192;16.7995252
BGLD;33038;Raiffeisenbank Dreiländereck Bgld-Nord eGen;Untere Hauptstrasse 36;2425;Nickelsdorf/L.;124790s;;(47.9374695, 17.0773074);47.9374695;17.0773074
BGLD;33048;Raiffeisenbank Lutzmannsburg - Frankenau eGen;Hauptstraße 25;7361;Lutzmannsburg;126941d;;(47.4639108, 16.635228);47.4639108;16.635228
BGLD;33065;Raiffeisenbank Burgenland Mitte eGen;Hauptstraße 34;7350;Oberpullendorf;124617k;;(47.4999901, 16.5055746);47.4999901;16.5055746
BGLD;33072;Raiffeisenbank Region Parndorf eGen;Hauptstraße 63;7111;Parndorf;126664x;;(47.9988284, 16.856114);47.9988284;16.856114
BGLD;33078;Raiffeisenbank Purbach eGen;Hauptgasse 19;7083;Purbach/N.See;124715f;;(47.9132088, 16.6957113);47.9132088;16.6957113
BGLD;33090;Raiffeisenbank Heideboden eGen;Wiener Straße 3;7161;St.Andrä/Zicksee;124747b;;(47.7858704, 16.9405764);47.7858704;16.9405764
BGLD;33106;Raiffeisenbank Weiden am See eGen;Schulzeile 1;7121;Weiden/See;124436w;;(47.9270377, 16.867623);47.9270377;16.867623
BGLD;33116;Raiffeisenbank Frauenkirchen-Mönchhof-Podersdorf am See eGen;Amtshausgasse 2;7132;Frauenkirchen;126036y;;(47.8370537, 16.9264477);47.8370537;16.9264477
BGLD;33125;Raiffeisenbezirksbank Oberwart eGen;Wiener Straße 5;7400;Oberwart;126950t;;(47.2892035, 16.2098419);47.2892035;16.2098419
OÖ;34000;Raiffeisenlandesbank Oberösterreich Aktiengesellschaft;Europaplatz 1a, Postfach 455;4020;Linz;247579m;;(48.29883, 14.3018734);48.29883;14.3018734
OÖ;34016;Raiffeisenbank Aspach-Wildenau eGen;Marktplatz 3;5252;Aspach;110403h;;(48.1843141, 13.3046345);48.1843141;13.3046345
OÖ;34030;Raiffeisenbank Region Altheim eGen;Braunauer Straße 22;4950;Altheim;111229y;;(48.2492526, 13.2284162);48.2492526;13.2284162
OÖ;34060;Raiffeisenbank Region Braunau eGen;Salzburger Straße 4;5280;Braunau am Inn;110979f;;(48.2549773, 13.0356323);48.2549773;13.0356323
OÖ;34068;Raiffeisenbank Grein eGen;Hauptstraße 25;4360;Grein;77454d;;(48.2286837, 14.8567976);48.2286837;14.8567976
OÖ;34075;Raiffeisenbank Donau-Ameisberg eGen;Marktplatz 10;4152;Sarleinsbach;75377z;;(48.5458137, 13.9048214);48.5458137;13.9048214
OÖ;34080;Raiffeisenbank Ennstal eGen;Kirchenplatz 11;4452;Ternberg;121230f;;(47.9455991, 14.3571401);47.9455991;14.3571401
OÖ;34081;Raiffeisenbank Eberschwang eGen;Eberschwang 116;4906;Eberschwang;110648v;;(48.153605, 13.5610687);48.153605;13.5610687
OÖ;34083;Raiffeisenbank Edt-Lambach eGen;Marktplatz 14;4650;Lambach;95249y;;(48.0912432, 13.873684);48.0912432;13.873684
OÖ;34100;Raiffeisenbank Feldkirchen-Goldwörth eGen;Hauptstraße 2;4101;Feldkirchen an der Donau;77923v;;(48.3457864, 14.0528836);48.3457864;14.0528836
OÖ;34110;Raiffeisenbank Region Freistadt eGen;Linzer Straße 15;4240;Freistadt;77599t;;(48.5069245, 14.5031102);48.5069245;14.5031102
OÖ;34111;Raiffeisenbank Region Gallneukirchen eGen;Reichenauerstraße 6-8;4210;Gallneukirchen;78373f;;(48.3537503, 14.4159019);48.3537503;14.4159019
OÖ;34113;Raiffeisenbank Gampern eGen;Gampern 70;4851;Gampern;94721x;;(47.988194, 13.553559);47.988194;13.553559
OÖ;34114;Raiffeisenbank Steyr eGen;Stadtplatz 46;4400;Steyr;120922b;;(48.0382709, 14.4183992);48.0382709;14.4183992
OÖ;34118;Raiffeisenbank Geretsberg eGen;Geretsberg 3;5132;Geretsberg;111163a;;(48.0898435, 12.9378126);48.0898435;12.9378126
OÖ;34127;Raiffeisenbank Almtal eGen;Im Dorf 15;4645;Grünau im Almtal;94292s;;(47.8548418, 13.9559504);47.8548418;13.9559504
OÖ;34129;Raiffeisenbank Gunskirchen eGen;Raiffeisenplatz 1;4623;Gunskirchen;94301d;;(48.1326845, 13.9420725);48.1326845;13.9420725
OÖ;34135;Raiffeisenbank Gramastetten-Herzogsdorf eGen;Marktstraße 41;4201;Gramastetten;75958d;;(48.3803744, 14.1916111);48.3803744;14.1916111
OÖ;34155;Raiffeisenbank Handenberg - St. Georgen a. F. eGen;Baumgartnerstraße 1;5144;Handenberg;110723d;;(48.133625, 13.0058811);48.133625;13.0058811
OÖ;34165;Raiffeisenbank Hinterstoder und Vorderstoder eGen;Hinterstoder 19;4573;Hinterstoder;121031m;;(47.6997661, 14.1547865);47.6997661;14.1547865
OÖ;34170;Raiffeisenbank Hörsching-Thening eGen;Ofteringer Straße 1;4063;Hörsching;77946b;;(48.2264714, 14.1759213);48.2264714;14.1759213
OÖ;34180;Raiffeisenbank Region Eferding eGen;Schiferplatz 24;4070;Eferding;94469a;;(48.3069537, 14.0243534);48.3069537;14.0243534
OÖ;34200;Raiffeisenbank Innkreis Mitte eGen;Ort 7;4974;Ort im Innkreis;110295z;;(48.3166906, 13.4092742);48.3166906;13.4092742
OÖ;34214;Raiffeisenbank Kematen-Neuhofen eGen;Steyrer Straße 1;4501;Neuhofen an der Krems;120906d;;(48.1385777, 14.2313569);48.1385777;14.2313569
OÖ;34226;Raiffeisenbank Kleinmünchen/Linz eGen;Salzburger Straße 5, Postfach 16;4030;Linz;75104y;;(48.273063, 14.3129426);48.273063;14.3129426
OÖ;34231;Raiffeisenbank Kollerschlag eGen;Markt 4;4154;Kollerschlag;77552y;;(48.6052852, 13.8419124);48.6052852;13.8419124
OÖ;34250;Raiffeisenbank Region Hausruck eGen;Marktplatz 6;4680;Haag am Hausruck;93474m;;(48.1852147, 13.6406942);48.1852147;13.6406942
OÖ;34276;Raiffeisenbank Leonding eGen;Stadtplatz 4;4060;Leonding;77867k;;(48.279785, 14.2483902);48.279785;14.2483902
OÖ;34277;Raiffeisenbank Region Bad Leonfelden eGen;Hauptplatz 2;4190;Bad Leonfelden;77998d;;(48.5228826, 14.2930252);48.5228826;14.2930252
OÖ;34284;Raiffeisenbank Lohnsburg eGen;Marktplatz 90;4923;Lohnsburg;111121p;;(48.1439074, 13.4041657);48.1439074;13.4041657
OÖ;34290;Raiffeisenbank Lochen am See eGen;Ringstraße 5;5221;Lochen am See;111129a;;(48.0084578, 13.1794708);48.0084578;13.1794708
OÖ;34300;Raiffeisenbank Region Neufelden eGen;Wimbergstraße 1;4171;St. Peter am Wimberg;77626g;;(48.5020044, 14.0818379);48.5020044;14.0818379
OÖ;34303;Raiffeisenbank Mattigtal eGen;Hauptstraße 61;5231;Schalchen;111408k;;(48.1171595, 13.1558748);48.1171595;13.1558748
OÖ;34312;Raiffeisenbank Maria Schmolln-St. Johann eGen;Maria Schmolln 68;5241;Maria Schmolln;110642i;;(48.1395295, 13.2163189);48.1395295;13.2163189
OÖ;34313;Raiffeisenbank Meggenhofen-Kematen eGen;Meggenhofen 55;4714;Meggenhofen;94688y;;(48.1800775, 13.7943541);48.1800775;13.7943541
OÖ;34322;Raiffeisenbank Mondseeland eGen;Rainerstraße 11, Postfach 29;5310;Mondsee;93513w;;(47.8549843, 13.3487574);47.8549843;13.3487574
OÖ;34330;Raiffeisenbank Mühlviertler Alm eGen;Schulstraße 2;4280;Königswiesen;77513s;;(48.4077464, 14.8389954);48.4077464;14.8389954
OÖ;34356;Raiffeisenbank Neukirchen an der Vöckla eGen;Hauptstraße 22;4872;Neukirchen an der Vöckla;94138p;;(48.0418178, 13.5380489);48.0418178;13.5380489
OÖ;34363;Raiffeisenbank Attersee-Süd eGen;Dorfstraße 50;4865;Nußdorf am Attersee;91728w;;(47.8817434, 13.5226657);47.8817434;13.5226657
OÖ;34370;Raiffeisenbank Oberes Innviertel eGen;Siedlungsstraße 1;5142;Eggelsberg;110546v;;(48.0815877, 12.991865);48.0815877;12.991865
OÖ;34380;Raiffeisenbank Region Kirchdorf eGen; Hauptplatz 29;4560;Kirchdorf an der Krems;120863s;;(47.9037895, 14.1236492);47.9037895;14.1236492
OÖ;34383;Raiffeisenbank Mittleres Rodltal eGen;Marktplatz 44;4181;Oberneukirchen;77965f;;(48.450014, 14.216697);48.450014;14.216697
OÖ;34390;Raiffeisenbank Ohlsdorf eGen;Hauptstraße 22;4694;Ohlsdorf;94199d;;(47.9608118, 13.792255);47.9608118;13.792255
OÖ;34410;Raiffeisenbank Region Rohrbach eGen;Stadtplatz 30;4150;Rohrbach-Berg;77818p;;(48.5728735, 13.9901938);48.5728735;13.9901938
OÖ;34434;Raiffeisenbank Pöndorf - Frankenmarkt eGen;Pöndorf 4;4891;Pöndorf;93840a;;(47.9972688, 13.3690714);47.9972688;13.3690714
OÖ;34437;Raiffeisenbank Prambachkirchen eGen;Hauptstraße 18;4731;Prambachkirchen;94262x;;(48.3144348, 13.9048855);48.3144348;13.9048855
OÖ;34438;Raiffeisenbank Pramet eGen;Pramet 2;4925;Pramet;111146a;;(48.1393959, 13.4858897);48.1393959;13.4858897
OÖ;34442;Raiffeisenbank Peuerbach eGen;Hauptstraße 14/1, Postfach 22;4722;Peuerbach;95178v;;(48.3442605, 13.7717578);48.3442605;13.7717578
OÖ;34450;Raiffeisenbank Region Ried i.I. eGen;Friedrich-Thurner-Straße 14;4910;Ried im Innkreis;110468d;;(48.2117587, 13.4850485);48.2117587;13.4850485
OÖ;34455;Raiffeisenbank Region Schärding eGen;Oberer Stadtplatz 42, Postfach 128;4780;Schärding;111211x;;(48.4565731, 13.4314465);48.4565731;13.4314465
OÖ;34460;Raiffeisenbank Region Pregarten eGen;Stadtplatz 17;4230;Pregarten;78388b;;(48.3552972, 14.5309811);48.3552972;14.5309811
OÖ;34491;Raiffeisenbank Windischgarsten eGen;Bahnhofstraße 6;4580;Windischgarsten;121233i;;(47.7210872, 14.3279933);47.7210872;14.3279933
OÖ;34510;Raiffeisenbank Salzkammergut eGen;Schiffslände 5;4810;Gmunden;93890z;;(47.9175693, 13.8024904);47.9175693;13.8024904
OÖ;34521;Raiffeisenbank St. Agatha eGen;Stauffstraße 8;4084;St. Agatha;94208t;;(48.3862768, 13.8792463);48.3862768;13.8792463
OÖ;34522;Raiffeisenbank St.Florian am Inn eGen;St. Florian 50;4782;St. Florian am Inn;110326w;;(42.945574, -78.886241);42.945574;-78.886241
OÖ;34523;Raiffeisenbank Attergau eGen;Attergaustraße 38a;4880;St. Georgen im Attergau;94574f;;(47.9351979, 13.4878211);47.9351979;13.4878211
OÖ;34530;Raiffeisenbank St. Marien eGen;St. Marien 19;4502;St. Marien;120908g;;(48.146204, 14.279465);48.146204;14.279465
OÖ;34540;Raiffeisenbank St. Roman eGen;Altendorf 29;4793;St. Roman bei Schärding;110732t;;(48.4815241, 13.6125275);48.4815241;13.6125275
OÖ;34545;Raiffeisenbank Inneres Salzkammergut eGen;Kreuzplatz 20;4820;Bad Ischl;94984h;;(47.7129306, 13.6216477);47.7129306;13.6216477
OÖ;34560;Raiffeisenbank Region Sierning-Enns eGen;Neustraße 5, Postfach 35;4522;Sierning;123110w;;(48.0437129, 14.3089648);48.0437129;14.3089648
OÖ;34608;Raiffeisenbank Attersee-Nord eGen;Raiffeisenplatz 1;4863;Seewalchen am Attersee;94993x;;(47.9498451, 13.5940043);47.9498451;13.5940043
OÖ;34613;Raiffeisenbank Schwertberg eGen;Bahnhofstraße 8;4311;Schwertberg;78084f;;(48.2730795, 14.5808235);48.2730795;14.5808235
OÖ;34630;Raiffeisenbank Region Schwanenstadt eGen;Stadtplatz 25-26;4690;Schwanenstadt;94698m;;(48.0557989, 13.7759344);48.0557989;13.7759344
OÖ;34633;Raiffeisenbank Steinbach-Grünburg eGen;Ortsplatz 2;4596;Steinbach an der Steyr;121332f;;(47.9696648, 14.2666683);47.9696648;14.2666683
OÖ;34669;Raiffeisenbank Timelkam-Lenzing-Puchkirchen eGen;Pollheimerstraße 1;4850;Timelkam;95196w;;(48.0013716, 13.6117924);48.0013716;13.6117924
OÖ;34680;Raiffeisenbank Wels eGen;Kaiser Josef-Platz 58, Postfach 10;4601;Wels;94566v;;(48.1605848, 14.0253605);48.1605848;14.0253605
OÖ;34710;Raiffeisenbank Region Vöcklabruck eGen;Salzburger Straße 1;4840;Vöcklabruck;95023s;;(48.0068439, 13.6529782);48.0068439;13.6529782
OÖ;34732;Raiffeisenbank Walding-Ottensheim eGen;Raiffeisenplatz 2;4111;Walding;77850k;;(48.350627, 14.1602548);48.350627;14.1602548
OÖ;34735;Raiffeisenbank Waldzell eGen;Hofmark 8;4924;Waldzell;111059y;;(48.1357323, 13.4274048);48.1357323;13.4274048
OÖ;34736;Raiffeisenbank Region Grieskirchen eGen;Roßmarkt 11;4710;Grieskirchen;94978z;;(48.2339462, 13.8311849);48.2339462;13.8311849
OÖ;34738;Raiffeisenbank Wartberg an der Krems eGen;Hauptstraße 23;4552;Wartberg an der Krems;121568b;;(47.9886791, 14.1191009);47.9886791;14.1191009
OÖ;34741;Raiffeisenbank Weißkirchen a.d. Traun eGen;Raiffeisenweg 1;4616;Weißkirchen an der Traun;94663k;;(48.1634725, 14.1203887);48.1634725;14.1203887
OÖ;34747;Raiffeisenbank Weyer eGen;Marktplatz 11;3335;Weyer;121076d;;(47.8579774, 14.664557);47.8579774;14.664557
OÖ;34750;Raiffeisenbank Bad Wimsbach-Neydharting eGen;Markt 23;4654;Bad Wimsbach-Neydharting;94065g;;(48.0635277, 13.9016223);48.0635277;13.9016223
OÖ;34770;Raiffeisenbank Wels Süd eGen;Pater-Bernhard-Rodlberger-Straße 25;4600;Thalheim bei Wels;93799s;;(48.1532573, 14.030668);48.1532573;14.030668
OÖ;34777;Raiffeisenbank Perg eGen;Linzer Straße 14;4320;Perg;77682p;;(48.2505098, 14.6316732);48.2505098;14.6316732
OÖ;34796;Raiffeisenlandesbank Oberösterreich AG;Europaplatz 1a;4020;Linz;247579m;Bank Direkt;(48.29883, 14.3018734);48.29883;14.3018734
SBG;35000;Raiffeisenverband Salzburg eGen;Schwarzstraße 13-15, Postfach 6;5020;Salzburg;38219f;;(47.8031826, 13.0417883);47.8031826;13.0417883
SBG;35001;Raiffeisenbank Abtenau-Rußbach registrierte Genossenschaft mit beschränkter Haftung;Markt 49;5441;Abtenau;37217g;;(47.5638414, 13.3444472);47.5638414;13.3444472
SBG;35004;Raiffeisenbank Altenmarkt-Flachau-Eben eGen;Marktplatz 5;5541;Altenmarkt;70820y;;(48.3011184, 14.300379);48.3011184;14.300379
SBG;35005;Raiffeisenbank Anif-Niederalm eGen;Aniferstraße 12;5081;Anif;70068t;;(47.7496606, 13.0635169);47.7496606;13.0635169
SBG;35006;Raiffeisenbank Annaberg-Lungötz registrierte Genossenschaft mit beschränkter Haftung;Annaberg 125;5524;Annaberg im Lammertal;70375v;;(47.5137593, 13.4309749);47.5137593;13.4309749
SBG;35007;Raiffeisenbank Anthering - Elixhausen eGen;Salzburgerstraße 6;5102;Anthering;68092k;;(47.8796063, 13.0129025);47.8796063;13.0129025
SBG;35010;Raiffeisenbank Bischofshofen eGen;Franz-Mohshammer-Platz 7, Postfach 69;5500;Bischofshofen;34830x;;(47.4151114, 13.217832);47.4151114;13.217832
SBG;35012;Raiffeisenbank Hohe Tauern eGen;Wilhelm-Fazokas-Straße 2c;5710;Kaprun;71071t;;(47.2725003, 12.7588609);47.2725003;12.7588609
SBG;35015;Raiffeisenbank Flachgau Mitte eGen;Dorf 1;5301;Eugendorf;70072y;;(47.8661408, 13.1223795);47.8661408;13.1223795
SBG;35016;Raiffeisenbank Faistenau-Hintersee eGen;Am Lindenplatz 2;5324;Faistenau;71078b;;(47.7781698, 13.2335098);47.7781698;13.2335098
SBG;35017;Raiffeisenbank Golling-Scheffau-Kellau registrierte Genossenschaft mit beschränkter Haftung;Markt 45;5440;Golling an der Salzach;68012v;;(47.5984842, 13.1681229);47.5984842;13.1681229
SBG;35018;Raiffeisenbank Grödig eGen;Hauptstraße 28;5082;Grödig;70037x;;(47.7397403, 13.0359326);47.7397403;13.0359326
SBG;35019;Raiffeisenbank Großarl-Hüttschlag eGen;Marktstraße 8;5611;Großarl;70102t;;(47.2388959, 13.2003117);47.2388959;13.2003117
SBG;35020;Raiffeisenbank Großgmain eGen;Salzburger Straße 53;5084;Großgmain;70106y;;(47.7248195, 12.9069175);47.7248195;12.9069175
SBG;35021;Raiffeisenbank Wallersee eGen;Hauptstraße 39;5203;Neumarkt am Wallersee;70791f;;(47.9448965, 13.2243043);47.9448965;13.2243043
SBG;35022;Raiffeisenbank Hallein-Oberalm eGen;Robertplatz 1;5400;Hallein;69205y;;(47.6821968, 13.0939645);47.6821968;13.0939645
SBG;35025;Raiffeisenbank Hof-Koppl-Ebenau eGen;Wolfgangseestraße 26;5322;Hof bei Salzburg;68173f;;(47.8150802, 13.2398354);47.8150802;13.2398354
SBG;35026;Raiffeisenbank Gastein eGen;Kaiser Franz-Platz 4;5630;Bad Hofgastein;71064g;;(47.171396, 13.1059448);47.171396;13.1059448
SBG;35027;Raiffeisenbank Hüttau-St. Martin-Niedernfritz registrierte Genossenschaft mit beschränkter Haftung;Hüttau 35;5511;Hüttau;37949h;;(47.4155068, 13.3077188);47.4155068;13.3077188
SBG;35029;Raiffeisenbank Kuchl-St. Koloman eGen;Markt 222;5431;Kuchl;70108a;;(47.6277964, 13.144578);47.6277964;13.144578
SBG;35030;Raiffeisenbank Lamprechtshausen-Bürmoos eGen;Hauptstraße 3, Postfach 30;5112;Lamprechtshausen;68161m;;(47.9922411, 12.9560348);47.9922411;12.9560348
SBG;35038;Raiffeisenbank Michaelbeuern eGen;Michaelbeuern 76;5152;Michaelbeuern;68039h;;(48.019056, 13.0275255);48.019056;13.0275255
SBG;35039;Raiffeisenbank Oberpinzgau eGen;Kirchgasse 12;5730;Mittersill;70075b;;(47.2798636, 12.4822494);47.2798636;12.4822494
SBG;35044;Raiffeisenbank Nußdorf eGen;Hauptstraße 1;5151;Nußdorf am Haunsberg;70116m;;(47.9581585, 13.0075942);47.9581585;13.0075942
SBG;35046;Raiffeisenbank St.Georgen eGen;Dorfplatz 2;5113;St. Georgen;69441w;;(47.9707206, 12.8925829);47.9707206;12.8925829
SBG;35047;Raiffeisenbank Salzburger Seenland eGen;Hauptstraße 52;5201;Seekirchen am Wallersee;70019w;;(47.8962193, 13.1238216);47.8962193;13.1238216
SBG;35049;Raiffeisenbank Radstadt-Untertauern-Filzmoos-Forstau registrierte Genossenschaft mit beschränkter Haftung;Stadtplatz 6/7;5550;Radstadt;70832s;;(47.385034, 13.46306);47.385034;13.46306
SBG;35051;Raiffeisenbank Rauris-Bucheben registrierte Genossenschaft mit beschränkter Haftung;Marktstraße 32;5661;Rauris;70163g;;(47.2293402, 12.9940882);47.2293402;12.9940882
SBG;35052;Raiffeisenbank Saalbach-Hinterglemm-Viehhofen eGen;Dorfplatz 311;5753;Saalbach;68022h;;(47.3914964, 12.6362009);47.3914964;12.6362009
SBG;35053;Raiffeisenbank Pinzgau Mitte eGen;Lofererstraße 5;5760;Saalfelden am Stein. Meer;71242v;;(47.4264842, 12.8486741);47.4264842;12.8486741
SBG;35054;Raiffeisenbank Salzburg Liefering-Maxglan-Siezenheim eGen ;Innsbrucker Bundesstraße 34;5020;Salzburg;69083v;;(47.8053329, 13.0208798);47.8053329;13.0208798
SBG;35055;Raiffeisenbank St. Veit-Schwarzach-Goldegg registrierte Genossenschaft mit beschränkter Haftung;Salzburger Straße 23;5620;Schwarzach im Pongau;37924x;;(47.3201421, 13.1587401);47.3201421;13.1587401
SBG;35056;Raiffeisenbank St.Gilgen-Fuschl-Strobl eGen;Mozartplatz 4, Postfach 60;5340;St. Gilgen;70850t;;(47.7668851, 13.3639358);47.7668851;13.3639358
SBG;35060;Raiffeisenbank St. Martin-Lofer-Weißbach eGen;St. Martin 7;5092;St. Martin;68225g;;(-34.7942698, 138.688414);-34.7942698;138.688414
SBG;35062;Raiffeisenbank Straßwalchen eGen;Salzburgerstraße 3;5204;Straßwalchen;67421z;;(47.9786131, 13.254299);47.9786131;13.254299
SBG;35063;Raiffeisenbank Lungau eGen;Kirchengasse 9, Postfach 9;5580;Tamsweg;53369i;;(47.1270747, 13.8101599);47.1270747;13.8101599
SBG;35064;Raiffeisenbank Taxenbach registrierte Genossenschaft mit beschränkter Haftung;Raiffeisenstraße 1;5660;Taxenbach;70746p;;(47.2923909, 12.9634875);47.2923909;12.9634875
SBG;35065;Raiffeisenbank Thalgau eGen;Marktplatz 1;5303;Thalgau;71262y;;(47.8415506, 13.254019);47.8415506;13.254019
SBG;35066;Raiffeisenbank Unken eGen;Niederland 103;5091;Unken;67417v;;(47.6503132, 12.7291014);47.6503132;12.7291014
SBG;35069;Raiffeisenbank St. Johann-Wagrain-Kleinarl eGen;Ing. Ludwig Pech-Straße 1;5600; St. Johann im Pongau;71082h;;(47.349322, 13.20236);47.349322;13.20236
SBG;35071;Raiffeisenbank Wals-Himmelreich registrierte Genossenschaft mit beschränkter Haftung;Hauptstraße 13, Postfach 5;5071;Wals;69326a;;(47.790398, 12.9691821);47.790398;12.9691821
SBG;35072;Raiffeisenkasse Werfen registrierte Genossenschaft mit beschränkter Haftung;Markt 25, Postfach 39;5450;Werfen;70782t;;(47.4769949, 13.1892002);47.4769949;13.1892002
Tirol;36000;Raiffeisen-Landesbank Tirol AG;Adamgasse 1-7, Postfach 543;6021;Innsbruck;223624i;;(47.263814, 11.3982202);47.263814;11.3982202
Tirol;36200;Raiffeisenbank Absam eGen;Salzbergstraße 64;6067;Absam;41064p;;(47.3012929, 11.5167984);47.3012929;11.5167984
Tirol;36203;Raiffeisenbank Alpbachtal eGen;Alpbach 177;6236;Alpbach;40687i;;(47.3989444, 11.9432051);47.3989444;11.9432051
Tirol;36207;Raiffeisenbank Arzl im Pitztal und Imsterberg registrierte Genossenschaft mit beschränkter Haftung;Dorfstraße 38;6471;Arzl im Pitztal;40575w;;(47.2077383, 10.7612595);47.2077383;10.7612595
Tirol;36209;Raiffeisenbank Westliches Mittelgebirge eGen;Sylvester-Jordan-Straße 5;6094;Axams;41787b;;(47.2313492, 11.279308);47.2313492;11.279308
Tirol;36215;Raiffeisenbank Brixen im Thale eGen;Dorfstraße 92;6364;Brixen im Thale;40489v;;(47.4500215, 12.2499472);47.4500215;12.2499472
Tirol;36218;Raiffeisen Regionalbank Achensee eGen;Dorfstraße 38;6212;Maurach;39846y;;(47.423477, 11.7483749);47.423477;11.7483749
Tirol;36219;Raiffeisenbank Ehrwald-Lermoos-Biberwier eGen;Kirchplatz 31;6632;Ehrwald;40662y;;(47.3985028, 10.9205521);47.3985028;10.9205521
Tirol;36220;Raiffeisenbank Oberlechtal eGen;Elbigenalp 52;6652;Elbigenalp;41926g;;(47.28716049, 10.44171799);47.28716049;10.44171799
Tirol;36223;Raiffeisenbank Erl eGen;Dorf 44;6343;Erl;40939f;;(47.6820351, 12.1802542);47.6820351;12.1802542
Tirol;36229;Raiffeisen Regionalbank Fügen-Kaltenbach-Zell eGen;Franziskusweg 10;6263;Fügen;39730b;;(47.3421773, 11.8502114);47.3421773;11.8502114
Tirol;36230;Raiffeisenbank Fulpmes-Telfes im Stubai eGen;Kirchstraße 3;6166;Fulpmes;38953i;;(47.1531751, 11.3497137);47.1531751;11.3497137
Tirol;36232;RaiffeisenBank Going eGen;Dorfstraße 25;6353;Going am Wilden Kaiser;40576x;;(47.5147361, 12.329698);47.5147361;12.329698
Tirol;36240;Raiffeisenkasse Hart eGen;Harterstraße 2;6265;Hart im Zillertal;39158k;;(47.3462643, 11.8642242);47.3462643;11.8642242
Tirol;36241;Raiffeisenbank Hippach und Umgebung eGen;Lindenstraße 11;6283;Hippach;40801b;;(47.2037929, 11.8660456);47.2037929;11.8660456
Tirol;36245;Raiffeisenbank Hopfgarten im Brixental eGen;Brixentaler Straße 15;6361;Hopfgarten;39375f;;(47.4489766, 12.1578926);47.4489766;12.1578926
Tirol;36248;Raiffeisenbank Paznaun eGen;Dorfstraße 49;6561;Ischgl;41386m;;(47.0125944, 10.2911325);47.0125944;10.2911325
Tirol;36252;Raiffeisenbank St. Anton am Arlberg eGen;Dorfstraße 24;6580;St. Anton am Arlberg;40929s;;(47.1283455, 10.2655297);47.1283455;10.2655297
Tirol;36260;Raiffeisenbank Kematen eGen;Sandbichlweg 2;6175;Kematen in Tirol;41551f;;(47.2564454, 11.2739164);47.2564454;11.2739164
