Bundesland;BLZ;Name;Adresse ;PLZ;Ort;FN;Info;coordinates;Latitude;Longitude
STMK;38094;Raiffeisenbank Gamlitz eGen;Obere Hauptstraße 210;8462;Gamlitz;67407d;;(46.7205883, 15.55123);46.7205883;15.55123
STMK;38102;Raiffeisenbank Gleinstätten-Leutschach-Groß St. Florian eGen;Gleinstätten 168;8443;Gleinstätten;69583d;;(46.7537708, 15.3638872);46.7537708;15.3638872
STMK;38103;Raiffeisenbank Region Gleisdorf eGen;Florianiplatz 18/19;8200;Gleisdorf;59013i;;(47.1048809, 15.7112471);47.1048809;15.7112471
STMK;38111;Raiffeisenbank Gratkorn eGen;Grazer Straße 5;8101;Gratkorn;47006b;;(47.132011, 15.3402501);47.132011;15.3402501
STMK;38113;Raiffeisenbank Schladming-Gröbming eGen;Hauptstraße 279;8962;Gröbming;82869t;;(47.4466424, 13.9012515);47.4466424;13.9012515
STMK;38128;Raiffeisenbank Halbenrain-Tieschen eGen;Halbenrain 125;8492;Halbenrain;53976b;;(46.7216811, 15.9462639);46.7216811;15.9462639
STMK;38129;Raiffeisenbank Mariazellerland eGen;Hauptplatz 1;8630;Mariazell;82851s;;(47.7734734, 15.3172277);47.7734734;15.3172277
STMK;38133;Raiffeisenbank Hausmannstätten eGen;Grazer Straße 6;8071;Hausmannst.;66741z;;(46.9924551, 15.5070953);46.9924551;15.5070953
STMK;38138;Raiffeisenbank Gratwein-Hitzendorf eGen;Bahnhofstraße 22;8112;Gratwein-Straßengel;67290g;;(47.1296724, 15.3206425);47.1296724;15.3206425
STMK;38151;Raiffeisenbank Ilz-Großsteinbach-Riegersburg eGen;Hauptstraße 39;8262;Ilz;67661b;;(47.0866285, 15.923977);47.0866285;15.923977
STMK;38170;Raiffeisenbank Heiligenkreuz-Kirchbach -St. Georgen eGen;Kirchbach 12;8082;Kirchbach/Stmk.;69259b;;(48.5385111, 15.05254);48.5385111;15.05254
STMK;38186;Raiffeisenbank Mürztal eGen;Grazer Straße 1;8670;Krieglach;83565s;;(47.5446786, 15.5615125);47.5446786;15.5615125
STMK;38187;Raiffeisenbank Weiz-Anger eGen;Kapruner Generator Straße 10;8160;Weiz;46724m;;(47.2184369, 15.6283219);47.2184369;15.6283219
STMK;38206;Raiffeisenbank Leibnitz eGen;Bahnhofstraße 2;8430;Leibnitz;48876b;;(46.7819529, 15.5413411);46.7819529;15.5413411
